ID,画像管理番号,掲載状況,登録区分,素材管理番号,BUD_PHOTO番号,被写体の名称,素材（画像）の詳細内容,撮影時期,撮影時期,掲載期間From,掲載期間To,期間,写真入手元,写真入手元　その他,掲載可能範囲,外部出稿条件付き,要クレジット,要使用許可 ,このアカウントのみ使用可,版権所有者,お客様情報　部署名,お客様情報　名前,新規者のアカント,新規者の名前,許可者のアカント,許可者の名前,許可日,備考,新規日付,画像ファイル名
,,2,3,,,300×225_3連休　イチオシプラン,バナー、3連休、連休、国内旅行、国内ツアー、全国特集,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2016/2/9,,2016/2/9,0469_300_225.jpg
,,2,3,,,640×220_3連休　イチオシプラン,バナー、3連休、連休、国内旅行、国内ツアー、全国特集,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2016/2/9,,2016/2/9,0469_640_220.jpg
181238,,2,3,元画像なし,,640×320_博多フリープラン,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、博多、フリープラン、4/6配信、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/4/30,,2014/1/10,0531_640_320.jpg
181238,,2,3,元画像なし,,220×165_博多フリープラン,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、博多、フリープラン、4/6配信、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/4/30,,2014/1/10,0531_220_165.jpg
181238,,2,3,元画像なし,,300×225_博多フリープラン,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、博多、フリープラン、4/6配信、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/4/30,,2014/1/10,0531_300_225.jpg
181238,,2,3,元画像なし,,640×220_博多フリープラン,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、博多、フリープラン、4/6配信、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/4/30,,2014/1/10,0531_640_220.jpg
181187,,2,3,元画像なし,,640×320_高級ホテルで過ごす東京・横浜,バナー、関西発国内、高級ホテル、東京、横浜、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/2/15,,2014/1/10,0549_640_320.jpg
181187,,2,3,元画像なし,,220×165_高級ホテルで過ごす東京・横浜,バナー、関西発国内、高級ホテル、東京、横浜、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/2/15,,2014/1/10,0549_220_165.jpg
181187,,2,3,元画像なし,,300×225_高級ホテルで過ごす東京・横浜,バナー、関西発国内、高級ホテル、東京、横浜、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/2/15,,2014/1/10,0549_300_225.jpg
181187,,2,3,元画像なし,,640×220_高級ホテルで過ごす東京・横浜,バナー、関西発国内、高級ホテル、東京、横浜、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/2/15,,2014/1/10,0549_640_220.jpg
