"ID","画像管理番号","掲載状況","登録区分","素材管理番号","BUD_PHOTO番号","被写体の名称","素材（画像）の詳細内容","撮影時期","撮影時期","掲載期間From","掲載期間To","期間","写真入手元","写真入手元　その他","掲載可能範囲","外部出稿条件付き","要クレジット","要使用許可 ","このアカウントのみ使用可","版権所有者","お客様情報　部署名","お客様情報　名前","新規者のアカント","新規者の名前","許可者のアカント","許可者の名前","許可日","備考","新規日付","画像ファイル名"
"","","2","3","元画像なし","","map_10_ET452_コースマップ","マップ、バナー、ET452、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=ET452&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_ET452.jpg"
"","","2","3","元画像なし","","map_10_ET458_コースマップ","マップ、バナー、ET458、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=ET458&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_ET458.jpg"
"","","2","3","元画像なし","","map_10_ET481A_コースマップ","マップ、バナー、ET481A、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=ET481A&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_ET481A.png"
"","","2","3","元画像なし","","map_10_LC602NY_コースマップ","マップ、バナー、LC602NY、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=LC602NY&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_LC602NY.png"
"","","2","3","元画像なし","","map_10_RT748KK_コースマップ","マップ、バナー、RT748KK、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=RT748KK&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_RT748KK.jpg"
"","","2","3","元画像なし","","map_10_RT835_コースマップ","マップ、バナー、RT835、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=RT835&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_RT835.png"
"","","2","3","元画像なし","","map_10_RT838NR_コースマップ","マップ、バナー、RT838NR、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=RT838NR&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_RT838NR.jpg"
"","","2","3","元画像なし","","map_10_RT906RN_コースマップ","マップ、バナー、RT906RN、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=RT906RN&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_RT906RN.jpg"
"","","2","3","元画像なし","","map_10_RT918C2_コースマップ","マップ、バナー、RT918C2、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=RT918C2&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_RT918C2.png"
"","","2","3","元画像なし","","map_10_RT927NH_コースマップ","マップ、バナー、RT927NH、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=RT927NH&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_RT927NH.jpg"
