Target campaign	Target ad group	title1(text)	tour_price(text)	Target location	出発地(text)	Target location restriction	URL
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Aichi, Japan	名古屋発	Physical location	https://www.hankyu-travel.com/korea/seoul/ngo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Mie, Japan	名古屋発	Physical location	https://www.hankyu-travel.com/korea/seoul/ngo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Gifu, Japan	名古屋発	Physical location	https://www.hankyu-travel.com/korea/seoul/ngo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Shizuoka, Japan	静岡発	Physical location	https://www.hankyu-travel.com/korea/seoul/szo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Osaka, Japan	関西発	Physical location	https://www.hankyu-travel.com/korea/seoul/osa.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Kyoto, Japan	関西発	Physical location	https://www.hankyu-travel.com/korea/seoul/osa.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Shiga, Japan	関西発	Physical location	https://www.hankyu-travel.com/korea/seoul/osa.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Nara, Japan	関西発	Physical location	https://www.hankyu-travel.com/korea/seoul/osa.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Wakayama, Japan	関西発	Physical location	https://www.hankyu-travel.com/korea/seoul/osa.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Hyogo, Japan	関西発	Physical location	https://www.hankyu-travel.com/korea/seoul/osa.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Tottori, Japan	山陰発	Physical location	https://www.hankyu-travel.com/korea/seoul/izo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Shimane, Japan	山陰発	Physical location	https://www.hankyu-travel.com/korea/seoul/izo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Okayama, Japan	岡山発	Physical location	https://www.hankyu-travel.com/korea/seoul/okj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Hiroshima, Japan	広島発	Physical location	https://www.hankyu-travel.com/korea/seoul/hij.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Yamaguchi, Japan	山口発	Physical location	https://www.hankyu-travel.com/korea/seoul/ubj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Kagawa, Japan	香川・徳島発	Physical location	https://www.hankyu-travel.com/korea/seoul/tak.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Tokushima, Japan	香川・徳島発	Physical location	https://www.hankyu-travel.com/korea/seoul/tak.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Ehime, Japan	松山発	Physical location	https://www.hankyu-travel.com/korea/seoul/myj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Kochi, Japan	高知発	Physical location	https://www.hankyu-travel.com/korea/seoul/kcz.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Fukuoka, Japan	福岡発	Physical location	https://www.hankyu-travel.com/korea/seoul/fuk.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Saga, Japan	福岡発	Physical location	https://www.hankyu-travel.com/korea/seoul/fuk.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Nagasaki, Japan	長崎発	Physical location	https://www.hankyu-travel.com/korea/seoul/ngs.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Kumamoto, Japan	熊本発	Physical location	https://www.hankyu-travel.com/korea/seoul/kmj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Oita, Japan	大分発	Physical location	https://www.hankyu-travel.com/korea/seoul/oit.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Miyazaki, Japan	宮崎発	Physical location	https://www.hankyu-travel.com/korea/seoul/kmi.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Kagoshima, Japan	鹿児島発	Physical location	https://www.hankyu-travel.com/korea/seoul/koj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル		Okinawa, Japan	沖縄発	Physical location	https://www.hankyu-travel.com/korea/seoul/oka.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Hokkaido, Japan	北海道発	Physical location	https://www.hankyu-travel.com/korea/busan/spk.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Aomori, Japan	青森発	Physical location	https://www.hankyu-travel.com/korea/busan/aoj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Akita, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/busan/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Iwate, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/busan/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Miyagi, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/busan/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Yamagata, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/busan/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Fukushima, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/busan/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Tokyo, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/busan/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Saitama, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/busan/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Kanagawa, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/busan/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Chiba, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/busan/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Ibaraki, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/busan/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Tochigi, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/busan/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Gunma, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/busan/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Yamanashi, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/busan/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Niigata, Japan	新潟発	Physical location	https://www.hankyu-travel.com/korea/busan/kij.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Nagano, Japan	長野発	Physical location	https://www.hankyu-travel.com/korea/busan/mmj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/釜山	釜山		Toyama, Japan	北陸発	Physical location	https://www.hankyu-travel.com/korea/busan/hkr.php
