Target campaign	Target ad group	title1(text)	tour_price(text)	Target location	出発地(text)	Target location restriction	URL	rqUrl	thedate	naigai	
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	9,900円～	Shiga, Japan	関西発	Physical location	https://www.hankyu-travel.com/korea/osa.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=102%2C152%2C153%2C154%2C155%2C156%2C157%2C158%2C160%2C161%2C143%2C163%2C171%2C172%2C173&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	9,900円～	Nara, Japan	関西発	Physical location	https://www.hankyu-travel.com/korea/osa.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=102%2C152%2C153%2C154%2C155%2C156%2C157%2C158%2C160%2C161%2C143%2C163%2C171%2C172%2C173&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	9,900円～	Wakayama, Japan	関西発	Physical location	https://www.hankyu-travel.com/korea/osa.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=102%2C152%2C153%2C154%2C155%2C156%2C157%2C158%2C160%2C161%2C143%2C163%2C171%2C172%2C173&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	9,900円～	Hyogo, Japan	関西発	Physical location	https://www.hankyu-travel.com/korea/osa.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=102%2C152%2C153%2C154%2C155%2C156%2C157%2C158%2C160%2C161%2C143%2C163%2C171%2C172%2C173&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	2.75万円～	Tottori, Japan	山陰発	Physical location	https://www.hankyu-travel.com/korea/izo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=131%2C135%2C136&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	2.75万円～	Shimane, Japan	山陰発	Physical location	https://www.hankyu-travel.com/korea/izo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=131%2C135%2C136&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	3.47万円～	Okayama, Japan	岡山発	Physical location	https://www.hankyu-travel.com/korea/okj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=113&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	3.28万円～	Hiroshima, Japan	広島発	Physical location	https://www.hankyu-travel.com/korea/hij.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=107%2C138&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	料金無しのため掲載なし	Yamaguchi, Japan	山口発	Physical location	https://www.hankyu-travel.com/korea/ubj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=132&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	3.15万円～	Kagawa, Japan	香川・徳島発	Physical location	https://www.hankyu-travel.com/korea/tak.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=115%2C111%2C165&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	3.15万円～	Tokushima, Japan	香川・徳島発	Physical location	https://www.hankyu-travel.com/korea/tak.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=115%2C111%2C165&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
