Target campaign	Target ad group	tour_price(text)	URL(text)	rqUrl	thedate	naigai	
SC_国内バスツアー_011_関西発	SC_国内バスツアー_011_関西発_目的地（都道府県KW）_h	3,000円～	http://www.hankyu-travel.com/bus/osa.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=106064%2C106061%2C106065%2C106062%2C106063%2C106066&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_012_山陰発	SC_国内バスツアー_012_山陰発_目的地（都道府県KW）_h	料金無しのため掲載なし	http://www.hankyu-travel.com/bus/izo.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=107074%2C107075&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_013_岡山発	SC_国内バスツアー_013_岡山発_目的地（都道府県KW）_h	8,830円～	http://www.hankyu-travel.com/bus/okj.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=107071&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_014_広島発	SC_国内バスツアー_014_広島発_目的地（都道府県KW）_h	2,980円～	http://www.hankyu-travel.com/bus/hij.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=107072&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_015_山口発	SC_国内バスツアー_015_山口発_目的地（都道府県KW）_h	料金無しのため掲載なし	http://www.hankyu-travel.com/bus/ubj.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=107073&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_016_香川・徳島発	SC_国内バスツアー_016_香川・徳島発_目的地（都道府県KW）_h	8,939円～	http://www.hankyu-travel.com/bus/tak.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=108083%2C108084&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_017_松山発	SC_国内バスツアー_017_松山発_目的地（都道府県KW）_h	5,990円～	http://www.hankyu-travel.com/bus/myj.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=108081&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_018_高知発	SC_国内バスツアー_018_高知発_目的地（都道府県KW）_h	1.78万円～	http://www.hankyu-travel.com/bus/kcz.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=108082&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_019_福岡発	SC_国内バスツアー_019_福岡発_目的地（都道府県KW）_h	6,990円～	http://www.hankyu-travel.com/bus/fuk.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=109091%2C109090%2C109094&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_020_長崎発	SC_国内バスツアー_020_長崎発_目的地（都道府県KW）_h	8,939円～	http://www.hankyu-travel.com/bus/ngs.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=109092&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_021_熊本発	SC_国内バスツアー_021_熊本発_目的地（都道府県KW）_h	7,990円～	http://www.hankyu-travel.com/bus/kmj.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=109095&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_022_大分発	SC_国内バスツアー_022_大分発_目的地（都道府県KW）_h	8,970円～	http://www.hankyu-travel.com/bus/oit.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=109093&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_023_宮崎発	SC_国内バスツアー_023_宮崎発_目的地（都道府県KW）_h	料金無しのため掲載なし	http://www.hankyu-travel.com/bus/kmi.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=109096&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_024_鹿児島発	SC_国内バスツアー_024_鹿児島発_目的地（都道府県KW）_h	5,990円～	http://www.hankyu-travel.com/bus/koj.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=109097&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_025_沖縄発	SC_国内バスツアー_025_沖縄発_目的地（都道府県KW）_h	料金無しのため掲載なし	http://www.hankyu-travel.com/bus/oka.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=110000&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
