"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath"
"3374TK","0","50","KAN","【徳島阿波おどり空港発着】二度目の世界遺産富士山と伊豆半島・箱根ぐるっと周遊３日間","900969","6080","00000-BP17_-04591.jpg","00000-BP14_-02847.jpg","00000-BP15_-06021.jpg","00310-BL12--00019.jpg","00000-AM16_-01075.jpg","00000-SP15_-31894.jpg","00000-SP16_-24812.jpg","","","","","","","00000-ALLUP-76000.jpg","00000-ALLUP-76001.jpg","","00000-ALLUP-101585.jpg","00000-ALLUP-101587.jpg","00000-ALLUP-101584.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1_00000-EBP08-02718.jpg、2_00000-BP12_-01677.jpg、3_00000-SP13_-16714.jpg","1_00000-BP14_-02847.jpg、2_00310-BL12--00019.jpg、3_00000-AM16_-01075.jpg","2_00000-BP17_-04591.jpg、3_00000-SP15_-31894.jpg","","","","","",""
"DZ3256D","0","10","KNK","羽田発 【関西2空港×フライト時間帯が選べる！】梅田OSホテル(2名1室セミダブルプラン)大阪2日間","130712","3161","00000-ALLUP-86721.jpg","00000-ALLUP-86727.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UD550JO","1","70","USA","≪青森発着/後泊≫日本航空利用　大自然アメリカ周遊8日間","050827","1120","00000-BP14_-03665.jpg","00445-webbn-17937.jpg","00000-BP16_-03401.jpg","00000-BP16_-09894.jpg","00133-BP12-00002.jpg","00709-EBP14-00075.jpg","00000-BP14_-03982.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2_00000-BP16_-03401.jpg、3_00448-webbn-16527.jpg、4_00000-BP17_-00702.jpg、5_00376-webbn-18210.jpg","2_00000-BP16_-08153.jpg、3_00000-BP14_-03665.jpg、4_00021-EBP10-00893.jpg、5_00478-webph-00540.jpg","4_00000-BP15_-03184.jpg","","1_00000-BP16_-03401.jpg、2_00000-BP15_-01351.jpg、3_00000-BP15_-03184.jpg","1_00000-BP16_-08979.jpg、2_00000-SP12_-39279.jpg、3_00000-BP16_-00958.jpg","","",""
"Y4649","0","91","HOK","≪新潟県内発着≫秋の富士五湖・昇仙峡・八ヶ岳高原列車・清里高原清泉寮での優雅なランチを楽しむ　２日間","970776","1133","00000-BP16_-06429.jpg","00000-SP16_-11859.jpg","00000-SP17_-18798.jpg","00000-BP14_-02847.jpg","00000-BP12_-01904.jpg","00000-ALLUP-108166.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ET362MP","1","10","AFR","《ﾋﾟﾗﾐｯﾄﾞﾋﾞｭｰﾌﾟﾗﾝ》ｴｼﾞﾌﾟﾄ航空復路直行便利用【燃油別】＜お1人様参加限定＞ｴｼﾞﾌﾟﾄ･ﾅｲﾙ川ｸﾙｰｽﾞ8日間","110538","3373","00021-EBP10-00172.jpg","00021-EBP10-03203.jpg","00000-EBP08-00156.jpg","00000-BP16_-07290.jpg","00469-BP10-00014.jpg","00021-EBP10-00179.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RX190","1","41","CHI","[O/U]【岡山駅西口発着】GO!GO!チベット　5日間","140254","6090","00215-BP11-00017.jpg","00000-BP16_-02406.jpg","00000-BP16_-01218.jpg","00000-SP17_-04994.jpg","00000-BP16_-02159.jpg","","","","","","","","","00626-SP17--00034.jpg","00626-SP17--00033.jpg","00626-SP17--00032.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5F5108","0","40","KYS","【鹿児島東急REI】レンタカー付！鹿児島フリープラン　3日間","970504","6120","00000-ALLUP-95936.jpg","00000-BP16_-05484.jpg","00000-SP15_-09140.jpg","00000-ALLUP-66871.jpg","00000-ALLUP-66870.jpg","00054-ESP11-12880.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UD550JM","1","70","USA","≪三沢発着/後泊≫日本航空利用　大自然アメリカ周遊8日間","050827","1120","00000-BP14_-03665.jpg","00445-webbn-17937.jpg","00000-BP16_-03401.jpg","00000-BP16_-09894.jpg","00133-BP12-00002.jpg","00709-EBP14-00075.jpg","00000-BP14_-03982.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2_00000-BP16_-03401.jpg、3_00448-webbn-16527.jpg、4_00000-BP17_-00702.jpg、5_00376-webbn-18210.jpg","2_00000-BP16_-08153.jpg、3_00000-BP14_-03665.jpg、4_00021-EBP10-00893.jpg、5_00478-webph-00540.jpg","4_00000-BP15_-03184.jpg","","1_00000-BP16_-03401.jpg、2_00000-BP15_-01351.jpg、3_00000-BP15_-03184.jpg","1_00000-BP16_-08979.jpg、2_00000-SP12_-39279.jpg、3_00000-BP16_-00958.jpg","","",""
"92S7TAZ","1","12","EUR","＜タイムセール＞成田夜発ﾀｰｷｯｼｭｴｱﾗｲﾝｽﾞ利用 ﾊﾞﾙｾﾛﾅ・ﾌﾘｰ7日間","900103","5202","00000-BP15_-07295.jpg","00000-BP16_-00040.jpg","00000-EBP07-03677.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZ3256E","0","10","KNK","羽田発 【関西2空港×フライト時間帯が選べる！】梅田OSホテル(2名1室セミダブルプラン)大阪3日間","130712","3161","00000-ALLUP-86721.jpg","00000-ALLUP-86727.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
