"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath"
"2319J","0","80","KAN","【新千歳空港発着/往復JALで行く！】京成ホテルミラマーレ　千葉フリープラン３日間","081103","3630","00000-ALLUP-08629.jpg","00000-ALLUP-65421.jpg","00000-ALLUP-65419.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J033KHN","1","96","AUS","【羽田発着】全日空ビジネスクラス利用！世界遺産と大自然の宝庫　タスマニア　アイランド９日間","131011","5601","00000-BP16_-06727.jpg","00000-BP16_-03925.jpg","00000-BP15_-05007.jpg","00000-BP17_-01013.jpg","00000-BP16_-04753.jpg","00021-EBP10-03319.jpg","00000-BP17_-01019.jpg","00000-BP15_-04872.jpg","00000-BP15_-04871.jpg","00000-BP15_-04825.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"QUA5TQ7","1","20","USA","＜4ﾃﾞｰﾊﾟｰｸﾎｯﾊﾟｰﾊﾟｽ付＞中部発着｜ｴｱ･ｶﾅﾀﾞ ﾙｰｼﾞｭ利用♪ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾘｿﾞｰﾄ7日間≪ｸｵﾘﾃｨ ｲﾝ指定≫","040163","1760","00000-ALLUP-95812.jpg","00000-ALLUP-95811.jpg","00000-ALLUP-95807.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93KAG28","1","12","KOR","＜航空券＋ホテル＞大韓航空　羽田昼発/金浦夕刻発　ﾌﾘｰﾌﾟﾗﾝ ｿｳﾙ3日間＜梨泰院ｸﾗｳﾝﾎﾃﾙ＞","890914","5202","00000-ALLUP-15658.jpg","00000-ALLUP-15669.jpg","00000-SP13_-11572.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"596OSH2","0","64","KNK","ＷＥＢ限定【大分】＜大阪新阪急ホテル＞に泊まる★関西2日間","930574","2565","00000-ALLUP-47871.jpg","00000-ALLUP-86724.jpg","00000-ALLUP-86728.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUA5TP5","1","20","USA","＜2ﾃﾞｰ・ﾊﾟｰｸﾎｯﾊﾟｰ・ﾁｹｯﾄ付＞中部発着｜ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾘｿﾞｰﾄ5日間≪ﾃﾞｨｽﾞﾆｰ・ﾊﾟﾗﾀﾞｲｽ・ﾋﾟｱ・ﾎﾃﾙ指定≫","040163","1760","00002-SP17--00097.jpg","00002-SP17--00100.jpg","00002-SP17--00098.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"4077I1","0","53","HKD","★【出雲空港発着/ﾎﾃﾙﾗﾝｸｱｯﾌﾟﾌﾟﾗﾝ】あの星野ﾘｿﾞｰﾄﾄﾏﾑに泊まる富良野・美瑛・旭山動物園・洞爺湖3日間","100618","2323","00000-ALLUP-97113.jpg","00000-ALLUP-59216.jpg","00000-BP15_-03066.jpg","00000-ALLUP-97111.jpg","00000-BL17_-00078.jpg","00000-BL16_-00280.jpg","00000-ALLUP-61937.jpg","00699-BL13--00014.jpg","00000-SP16_-21521.jpg","00000-ALLUP-46497.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1_00000-BP12_-00562.jpg、2_00000-ALLUP-97113.jpg、3_00000-SP16_-21521.jpg","1_00000-ALLUP-97738.jpg、2_00000-BL16_-00280.jpg、3_00699-BL13--00014.jpg","1_00000-ALLUP-57723.jpg、2_00000-BL16_-00082.jpg","","1_00000-ALLUP-97738.jpg、2_00000-ALLUP-97113.jpg","1_00000-ALLUP-57723.jpg、2_00000-ALLUP-61937.jpg","3_00000-BL16_-00082.jpg、4_00000-SP16_-21521.jpg","3_00000-BP12_-00675.jpg、4_00699-BL13--00014.jpg","3_00000-BP15_-03066.jpg、4_00000-ALLUP-59216.jpg"
"596OSH3","0","64","KNK","ＷＥＢ限定【大分】＜大阪新阪急ホテル＞に泊まる★関西3日間","930574","2565","00000-ALLUP-47873.jpg","00000-ALLUP-86724.jpg","00000-ALLUP-86730.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E732ME","1","10","MID","＜ﾊﾞｽ一台28名様限定＞【燃油不要】ﾃﾞﾗｯｸｽｸﾗｽ（ﾎﾃﾙ指定）洞窟ﾎﾃﾙに2連泊！ﾏﾙ得ﾄﾙｺ大周遊10日間","120414","3272","00000-BP15_-04204.jpg","00000-ALLUP-14287.jpg","00000-BP15_-03444.jpg","00000-EBP07-02162.jpg","00000-BP14_-04023.jpg","00000-EBP07-02161.jpg","","","","","","","","00000-ALLUP-14287.jpg","00000-ALLUP-62777.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"FUJEGG7","1","31","USA","≪4ﾃﾞｰﾊﾟｰｸﾎｯﾊﾟｰﾊﾟｽ＆現地往復送迎付≫大阪発着・羽田便ｴｱｶﾅﾀﾞ利用｜ｵｰﾗﾝﾄﾞ7日間＜ﾃﾞｨｽﾞﾆｰｱｰﾄｵﾌﾞｱﾆﾒｰｼｮﾝ＞","050994","5237","00174-NR_Z3-00044.jpg","00174-NR_Z3-00008.jpg","00174-NR_Z3-00043.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUA5TP6","1","20","USA","＜3ﾃﾞｰ・ﾊﾟｰｸﾎｯﾊﾟｰ・ﾁｹｯﾄ付＞中部発着｜ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾘｿﾞｰﾄ6日間≪ﾃﾞｨｽﾞﾆｰ・ﾊﾟﾗﾀﾞｲｽ・ﾋﾟｱ・ﾎﾃﾙ指定≫","040163","1760","00002-SP17--00100.jpg","00002-SP17--00097.jpg","00002-SP17--00098.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"F485P5","0","80","HOK","【1泊目立山ﾌﾟﾘﾝｽ/2泊目ANAｸﾗｳﾝﾌﾟﾗｻﾞ/新千歳発着】アルペンルートとトロッコ電車・上高地・白川郷3日間","150518","3630","00000-BL16_-00504.jpg","00000-BP12_-01498.jpg","00000-BP15_-01520.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"QUA5TP7","1","20","USA","＜4ﾃﾞｰ・ﾊﾟｰｸﾎｯﾊﾟｰ・ﾁｹｯﾄ付＞中部発着｜ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾘｿﾞｰﾄ7日間≪ﾃﾞｨｽﾞﾆｰ・ﾊﾟﾗﾀﾞｲｽ・ﾋﾟｱ・ﾎﾃﾙ指定≫","040163","1760","00002-SP17--00098.jpg","00002-SP17--00097.jpg","00002-SP17--00100.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
