"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath","p_country_name","p_city_name","p_brand_name"
"93T4221","1","12","TWN","≪観光付き≫成田午後発/夕刻帰着★ｷｬｾｲﾊﾟｼﾌｨｯｸ航空利用│台北4日間│2日目市内観光＆九ﾌﾝﾄﾜｲﾗｲﾄ観光","140143","5202","00709-SP17-00563.jpg","00709-BP15-00052.jpg","00174-SP11--00193.jpg","00000-BP17_-06317.jpg","00000-EBP07-00078.jpg","00000-ALLUP-101787.jpg","00133-BP16-00053.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","九フン、台北","e-very"
"93T3211","1","12","TWN","≪観光付き≫成田午後発/夕刻帰着★ｷｬｾｲﾊﾟｼﾌｨｯｸ航空利用│満喫！烏来・九フンと台北3日間","140143","5202","00000-BP12_-01512.jpg","00000-ALLUP-67372.jpg","00174-SP11--00193.jpg","00000-BP13_-00529.jpg","00000-SP15_-13077.jpg","00709-BP15-00038.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","九フン、台北、烏来(ウーライ)","e-very"
"4F997XX","0","30","KYS","【往復新幹線利用/ホテルニューオータニ博多プラン】びっくり博多フリープラン　2日間","140248","4187","00000-ALLUP-61819.jpg","00000-ALLUP-69911.jpg","00000-SP12_-14752.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","福岡県","博多","トラピックス"
"93T4222","1","12","TWN","≪観光付き≫成田午後発/夕刻帰着★ｷｬｾｲﾊﾟｼﾌｨｯｸ航空利用│台北4日間｜2日目市内観光＆夕暮れの十分天燈上げ","140143","5202","00000-SP16_-11263.jpg","00174-SP11--00193.jpg","00003-EBP09-01528.jpg","00133-BP16-00053.jpg","00003-EBP09-01406.jpg","00000-EBP07-00078.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","九フン、台北","e-very"
"93T4227","1","12","TWN","≪観光付き≫成田午後発/夕刻帰着★ｷｬｾｲﾊﾟｼﾌｨｯｸ航空利用│台北4日間｜市内＆九ﾌﾝ観光＜六福客棧(ﾚｵﾌｰ)泊＞","140143","5202","00000-ALLUP-100052.jpg","00000-ALLUP-108303.jpg","00000-BP15_-04725.jpg","00000-ALLUP-101787.jpg","00000-BP17_-06317.jpg","00174-SP11--00193.jpg","00133-BP16-00053.jpg","00709-BP15-00038.jpg","00003-EBP09-01406.jpg","00000-BP17_-05637.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","九フン、台北","e-very"
"2J011X1","0","30","THK","【往復新幹線利用】憧れの「佐勘」に泊まる東北四大夏祭りおふたりの旅　4日間","70112","4187","00000-ALLUP-98015.jpg","00000-ALLUP-00444.jpg","00000-BL14_-00249.jpg","00000-BL16_-00059.jpg","00032-EBP09-10329.jpg","00000-BL16_-00666.jpg","00000-ALLUP-54487.jpg","00000-ALLUP-75782.jpg","00000-ALLUP-100150.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","青森県、岩手県、宮城県、秋田県、山形県","青森市内、津軽・五所川原、安比高原、平泉、花巻温泉郷、仙台市内、秋保温泉、秋田市内、山形市内、山形県その他","トラピックス"
"#601","0","64","SET","【南米旅行説明会】16：00～16：50三井生命会議室","920187","2565","00000-BP14_-02200.jpg","00003-EBP09-01859.jpg","","00021-EBP09-07480.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","大分県","大分市内","トラピックス"
"4F998YY","0","30","KYS","【往復JR/ﾚﾝﾀｶｰ付】びっくり博多フリープラン　2日間","140248","4187","00000-SP12_-14752.jpg","00032-EBP07-07690.jpg","00054-ALLUP-109959.jpg","00000-SP17_-13298.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","福岡県","博多","トラピックス"
"93ZN500","1","12","NZY","≪送迎付≫成田発｜ﾆｭｰｼﾞｰﾗﾝﾄﾞ航空で行く♪帆の街・ｵｰｸﾗﾝﾄﾞﾌﾘｰ5日間","150057","5202","00000-BP16_-05369.jpg","00000-BP16_-05557.jpg","00000-EBP07-02956.jpg","00000-BP15_-01109.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ニュージーランド","オークランド","e-very"
"93ZN502","1","12","NZY","＜航空券+ホテル＞成田発｜ﾆｭｰｼﾞｰﾗﾝﾄﾞ航空で行く♪帆の街・ｵｰｸﾗﾝﾄﾞﾌﾘｰ5日間","150057","5202","00000-BP16_-05369.jpg","00000-BP16_-05557.jpg","00000-EBP07-02956.jpg","00000-BP15_-01109.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ニュージーランド","オークランド","e-very"
