p_dest_name,p_dest_code,p_country_name,p_country_code,p_city_name,url,cms_link
北米,DNU,カナダ,CA,,https://www.hankyu-travel.com/canada/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151625&blog_id=72
北米,DNU,カナダ,CA,バンクーバー,https://www.hankyu-travel.com/canada/vancouver/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151625&blog_id=72
北米,DNU,カナダ,CA,カナディアンロッキー,https://www.hankyu-travel.com/canada/rockies/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151625&blog_id=72
北米,DNU,カナダ,CA,ナイアガラ,https://www.hankyu-travel.com/canada/niagara/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151625&blog_id=72
北米,DNU,カナダ,CA,トロント,https://www.hankyu-travel.com/canada/toronto/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151625&blog_id=72
北米,DNU,カナダ,CA,ケベック,https://www.hankyu-travel.com/canada/quebec/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151625&blog_id=72
北米,DNU,カナダ,CA,モントリオール,https://www.hankyu-travel.com/canada/montreal/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151625&blog_id=72
北米,DNU,カナダ,CA,プリンスエドワード島,https://www.hankyu-travel.com/canada/pei/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151625&blog_id=72
北米,DNU,カナダ,CA,イエローナイフ,https://www.hankyu-travel.com/canada/yellowknife/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151625&blog_id=72
オセアニア,FOC,,,,https://www.hankyu-travel.com/oceania/,
オセアニア,FOC,オーストラリア,AU,,https://www.hankyu-travel.com/australia/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151627&blog_id=72
